Date,Open,High,Low,Close,Adj Close,Volume
9/3/14,4.17,4.23,4.17,4.19,4.19,9600600
9/4/14,4.18,4.25,4.15,4.15,4.15,12791400
9/5/14,4.17,4.19,4.15,4.15,4.15,6630200
9/8/14,4.13,4.18,4.1,4.13,4.13,8396200
9/9/14,4.15,4.16,4.08,4.08,4.08,8964800
9/10/14,4.08,4.11,4.01,4.08,4.08,13276800
9/11/14,4.03,4.08,4.02,4.08,4.08,8086800
9/12/14,4.06,4.11,3.96,3.96,3.96,14123900
9/15/14,3.98,4.02,3.9,3.91,3.91,18257000
9/16/14,3.89,3.9,3.8,3.81,3.81,40156400
9/17/14,3.82,3.88,3.8,3.82,3.82,24894600
9/18/14,3.88,3.94,3.7,3.88,3.88,16141400
9/19/14,3.93,3.94,3.81,3.81,3.81,23030000
9/22/14,3.81,3.83,3.75,3.76,3.76,14201400
9/23/14,3.76,3.79,3.69,3.69,3.69,16282500
9/24/14,3.71,3.75,3.69,3.7,3.7,11792600
9/25/14,3.7,3.72,3.6,3.63,3.63,17556500
9/26/14,3.63,3.67,3.6,3.6,3.6,12976300
9/29/14,3.56,3.66,3.54,3.55,3.55,26857600
9/30/14,3.56,3.58,3.4,3.41,3.41,55952200
10/1/14,3.39,3.42,3.3,3.35,3.35,33645900
10/2/14,3.37,3.44,3.28,3.39,3.39,27904500
10/3/14,3.43,3.46,3.37,3.4,3.4,16797000
10/6/14,3.42,3.44,3.3,3.36,3.36,17864800
10/7/14,3.35,3.38,3.28,3.28,3.28,17720600
10/8/14,3.3,3.31,3.18,3.28,3.28,28000000
10/9/14,3.03,3.2,2.94,2.95,2.95,69528900
10/10/14,2.95,2.95,2.71,2.72,2.72,41062500
10/13/14,2.78,2.85,2.73,2.74,2.74,38269400
10/14/14,2.61,2.75,2.6,2.62,2.62,39964200
10/15/14,2.62,2.71,2.54,2.61,2.61,36924600
10/16/14,2.56,2.72,2.54,2.64,2.64,38795400
10/17/14,2.67,2.86,2.66,2.72,2.72,75956600
10/20/14,2.79,2.8,2.6,2.67,2.67,28711000
10/21/14,2.7,2.78,2.68,2.77,2.77,24033800
10/22/14,2.79,2.8,2.64,2.64,2.64,23034800
10/23/14,2.68,2.71,2.65,2.69,2.69,23731000
10/24/14,2.69,2.73,2.67,2.68,2.68,11945800
10/27/14,2.68,2.71,2.65,2.66,2.66,13307500
10/28/14,2.69,2.77,2.67,2.72,2.72,22878300
10/29/14,2.75,2.81,2.73,2.77,2.77,15600900
10/30/14,2.79,2.79,2.7,2.75,2.75,13026100
10/31/14,2.79,2.83,2.75,2.8,2.8,14704800
11/3/14,2.81,2.9,2.81,2.87,2.87,11733600
11/4/14,2.9,2.91,2.75,2.83,2.83,12524300
11/5/14,2.85,2.87,2.77,2.8,2.8,9635100
11/6/14,2.78,2.8,2.75,2.76,2.76,8932900
11/7/14,2.77,2.8,2.76,2.78,2.78,7293800
11/10/14,2.78,2.81,2.75,2.76,2.76,12593100
11/11/14,2.78,2.79,2.72,2.73,2.73,8113500
11/12/14,2.73,2.75,2.65,2.71,2.71,15875400
11/13/14,2.71,2.74,2.65,2.66,2.66,10915400
11/14/14,2.68,2.7,2.61,2.61,2.61,12373000
11/17/14,2.62,2.69,2.61,2.67,2.67,12593800
11/18/14,2.69,2.73,2.63,2.65,2.65,14967800
11/19/14,2.68,2.68,2.61,2.63,2.63,10323300
11/20/14,2.6,2.72,2.59,2.69,2.69,15043900
11/21/14,2.72,2.77,2.71,2.77,2.77,11311600
11/24/14,2.8,2.85,2.8,2.83,2.83,12293900
11/25/14,2.84,2.86,2.76,2.83,2.83,11073600
11/26/14,2.81,2.84,2.8,2.84,2.84,10553500
11/28/14,2.85,2.85,2.77,2.79,2.79,5665000
12/1/14,2.77,2.79,2.64,2.67,2.67,16025100
12/2/14,2.69,2.71,2.61,2.68,2.68,12438800
12/3/14,2.71,2.82,2.69,2.74,2.74,18256500
12/4/14,2.75,2.75,2.66,2.69,2.69,14513400
12/5/14,2.69,2.7,2.66,2.66,2.66,9479300
12/8/14,2.65,2.68,2.52,2.58,2.58,25402100
12/9/14,2.55,2.59,2.49,2.59,2.59,22914800
12/10/14,2.58,2.58,2.46,2.48,2.48,17690100
12/11/14,2.51,2.54,2.46,2.49,2.49,10151600
12/12/14,2.46,2.55,2.35,2.52,2.52,21211600
12/15/14,2.52,2.6,2.46,2.47,2.47,19636400
12/16/14,2.44,2.53,2.42,2.5,2.5,17051600
12/17/14,2.5,2.57,2.46,2.55,2.55,12521300
12/18/14,2.58,2.59,2.54,2.55,2.55,12423900
12/19/14,2.53,2.57,2.51,2.57,2.57,14701500
12/22/14,2.55,2.68,2.52,2.66,2.66,15044900
12/23/14,2.69,2.72,2.66,2.67,2.67,8274400
12/24/14,2.63,2.7,2.63,2.65,2.65,4624000
12/26/14,2.65,2.69,2.65,2.65,2.65,4029600
12/29/14,2.64,2.66,2.63,2.66,2.66,8527000
12/30/14,2.64,2.7,2.63,2.63,2.63,7783700
12/31/14,2.64,2.7,2.64,2.67,2.67,11177900
1/2/15,2.67,2.67,2.67,2.67,2.67,0
1/5/15,2.67,2.7,2.64,2.66,2.66,8878200
1/6/15,2.65,2.66,2.55,2.63,2.63,13912500
1/7/15,2.63,2.65,2.54,2.58,2.58,12377600
1/8/15,2.59,2.65,2.56,2.61,2.61,11136600
1/9/15,2.63,2.64,2.58,2.63,2.63,8907600
1/12/15,2.62,2.64,2.55,2.63,2.63,9979600
1/13/15,2.64,2.68,2.6,2.66,2.66,17907400
1/14/15,2.6,2.66,2.58,2.63,2.63,9989900
1/15/15,2.62,2.65,2.49,2.52,2.52,17744000
1/16/15,2.52,2.53,2.39,2.39,2.39,30192400
1/20/15,2.39,2.43,2.19,2.24,2.24,56713300
1/21/15,2.18,2.45,2.14,2.45,2.45,46530800
1/22/15,2.42,2.5,2.37,2.47,2.47,36169600
1/23/15,2.48,2.5,2.43,2.45,2.45,11107200
1/26/15,2.44,2.64,2.44,2.61,2.61,36571300
1/27/15,2.58,2.84,2.56,2.7,2.7,51805800
1/28/15,2.71,2.75,2.6,2.63,2.63,24786200
1/29/15,2.63,2.69,2.51,2.61,2.61,17790200
1/30/15,2.56,2.6,2.51,2.57,2.57,12908200
2/2/15,2.69,2.75,2.65,2.67,2.67,25688700
2/3/15,2.7,2.8,2.68,2.76,2.76,22592300
2/4/15,2.78,2.92,2.76,2.85,2.85,34829300
2/5/15,2.88,3.37,2.87,3.31,3.31,73355600
2/6/15,3.2,3.21,3,3.03,3.03,38300000
2/9/15,3.03,3.07,2.93,3.04,3.04,24133800
2/10/15,3.07,3.1,3.01,3.04,3.04,13995100
2/11/15,3.03,3.1,3,3.07,3.07,11741100
2/12/15,3.08,3.15,3.05,3.12,3.12,12975000
2/13/15,3.13,3.18,3.11,3.15,3.15,9627600
2/17/15,3.16,3.17,3.08,3.11,3.11,8678100
2/18/15,3.11,3.14,3.06,3.08,3.08,7286100
2/19/15,3.06,3.08,3.01,3.06,3.06,6573600
2/20/15,3.03,3.13,3.02,3.06,3.06,10666700
2/23/15,3.05,3.1,3.03,3.06,3.06,6323500
2/24/15,3.06,3.12,3.02,3.11,3.11,10916300
2/25/15,3.08,3.14,3.06,3.1,3.1,6151300
2/26/15,3.1,3.13,3.06,3.08,3.08,8680900
2/27/15,3.07,3.12,3.07,3.11,3.11,7150200
